46,-310.06,-367.08,-103.2,260.73,86.961,-119.56,75.863,-228.43,-221.6,69.438,232.52,-10.793,-55.382,70.636,540.7,-139.61,800.43,4.7744,20.147,-19.431,116.22,54.609,-42.273,57.01
50,-186.16,-285.53,-65.222,500.34,30.066,-122.24,16.649,-212.17,-203.6,191.79,652.65,46.787,-194.84,313.23,703.36,-31.241,794.22,368.42,-100.3,-21.828,70.158,-149.33,-84.612,-13.631
53,-252.94,-422.3,-110.01,121.04,21.792,-62.617,57.477,-229.75,25.696,18.041,538.36,-99.059,-73.681,422.11,824.67,-116.74,122.6,388.02,-68.202,31.01,286.35,-27.17,-92.627,-39.125
57,-253.68,-395.2,49.351,204.82,159.08,-60.358,97.652,-211.08,-85.114,52.493,227.97,-114.94,203.98,968.2,1117.3,-10.011,792.25,403.27,-72.212,-52.933,261.18,-33.462,-107.95,-88.41
60,915.82,384.93,1666.1,2056.6,1492.6,434.44,752.42,478.81,1209.5,661.33,2151.6,1396.3,430.03,923.19,4997.2,567.4,1747.4,1185.5,1659.1,410.76,1519.2,424.71,338.93,56.691
64,5091.6,2222.8,4919.7,6036.6,5359.2,3258,1928.9,1940.6,3067.6,3183.4,3773.9,3870,1634.9,2779.1,4770,2597.7,4795.3,3307,3001.5,2474,3133.8,1592.4,1441.9,1203.8
67,13232,8085.2,10859,11997,10904,8624.6,4865.4,5744.3,8600.8,7228.3,6366.6,5130.2,4161.7,5972.5,8478.1,5131.5,8795.4,6899.7,7036,5996.9,6399.9,3951.2,3418.2,2650.1
71,24754,15398,21491,22205,19271,17027,10688,11759,14501,13997,11240,11067,9425.1,9274.3,13079,9957.2,16140,13205,12473,9941.1,11399,7505.6,6667.9,5475.3
74,31389,20396,28645,29837,27017,23706,15583,17074,18759,17671,14313,14726,14409,13028,16266,13116,20790,17725,16800,13628,16243,11037,9149,9280.2
78,37759,25254,33435,36281,33600,29410,19790,21483,22475,21049,17283,18378,18015,16062,19751,16216,25608,22130,20323,16212,19805,13865,12658,11896
