228,35822,40577,41231,41761,41674,37159,35996,31062,29975,28057,30531,29218,28813,29945,28826,29740,31842,33126,30655,27789,26310
234,36587,40393,40293,42939,41037,37918,37030,31134,30018,28255,30982,28448,28899,30622,28747,31183,31925,32565,31647,27104,25955
240,37070,40067,39491,42668,40402,38387,36533,32761,29381,28317,30224,28924,29260,30477,29616,31276,32214,33048,32032,27449,27311
246,37971,40047,41386,41813,39988,37195,36982,30750,30027,28644,30743,28517,30119,30724,29022,30680,32556,32998,31778,27881,26484
252,37141,39820,41561,42681,40701,37995,37219,31176,30958,28893,31064,29390,30316,31428,29576,30866,32747,33705,32663,28597,26865
258,37382,39692,40249,42879,40561,37078,36044,32016,30771,28321,31559,29163,29669,31791,29455,31104,32216,34000,32371,27949,27414
264,36944,40591,41292,41426,40198,37908,34939,31529,31079,29085,32078,29283,29941,31585,30274,31600,32808,34177,32798,28586,26739
270,36015,39166,41793,42475,40011,37650,36245,31935,31242,28547,31353,29811,29722,31140,29664,31937,33092,33755,31821,28594,27304
276,36565,39390,40679,41949,40985,38208,35410,31110,31251,29219,31910,30208,30134,31466,29915,31731,32733,33993,32675,29513,26692
282,36712,39576,40572,41664,39931,37561,35886,30947,31867,28461,32015,29870,30232,30404,29630,31519,32443,33623,32143,28858,26521
288,36942,39681,40195,42918,38673,37527,35706,32650,31374,29388,31798,30193,29910,31523,29966,31802,32461,33976,31770,29743,27610
294,36313,39465,40780,41940,39433,38101,36177,32084,31316,29900,31770,30096,30616,30983,29756,31593,32926,34110,31580,28547,27219
300,34911,38088,41045,41958,39597,38208,36440,31733,31497,29129,32417,30896,30213,32048,29791,31358,32722,33602,31928,28960,27123
306,37173,40015,40732,41481,40172,37875,37600,31902,31676,29202,31666,29977,30744,31774,29872,31563,32589,34101,32200,28564,27473
312,37291,38781,42220,42792,39963,38721,35672,31891,32294,28906,31995,30357,30946,31127,30158,32227,33274,34233,32525,29635,27373
318,37609,40836,41842,42571,40477,38602,35649,32408,32045,29348,32080,30245,30639,32036,29797,31439,33090,34296,32533,29087,27644
324,38023,41779,41529,42923,41613,38401,37142,32650,32465,29347,32431,30853,30706,31616,29969,31495,33656,34317,32493,28936,27209
330,37735,42245,41881,43594,41111,38206,37792,32524,30457,30454,32512,29340,30813,31938,30477,32204,33236,34062,32765,28868,27911
336,39334,41909,42217,43859,42600,40241,37163,32691,31916,30345,32378,29431,30473,31572,30620,32521,33175,34884,32840,28764,27817
342,39677,41923,43280,43176,42388,39235,37381,32533,32583,30053,32648,30815,31406,31832,30922,32344,33177,34484,33463,30280,28386
348,40545,41065,43883,43684,43361,39112,38225,32421,31795,29955,31793,30108,30415,32322,30708,32595,34083,33951,33022,29593,28358
354,38790,41980,43418,44911,42409,40089,38793,32165,31612,29912,32342,30307,30056,32089,30891,32723,33922,35377,33539,29194,28554
360,39672,42645,44081,43850,42955,39070,38061,32966,31872,30140,32882,30346,29694,31840,30576,32489,33457,34911,33158,29899,28775
366,39676,41520,44354,45584,42090,39236,39104,32157,31270,30676,33103,30805,30710,31645,30871,32449,34092,35897,33124,30275,28237
372,40054,42753,43998,45968,42540,39858,38850,32304,31946,30645,33509,30474,31132,31074,31257,33357,34833,35195,32694,30300,29108
