0,22.009,49.26,0+57.527i,0+55.207i,33.867,0+46.268i,26.375,NaN,0+60.567i,16.033,0+57.864i,35.766,11.461,0+21.321i,56.858,0+37.5i,0+45.288i,670.73,128.84,0+140.73i,0+65.972i,0+94.042i,0+88.129i,0+7.7007i
270,1271.6,1379.8,1510.6,1536.2,1530.1,1492.6,1513,NaN,1200.4,1227.5,1103.7,1215.7,1260.4,1311.6,1389.5,1058.9,1638.5,1767.3,1793.6,1838.2,1863.4,1823.5,1791.6,699.78
276,1285.8,1402.5,1467.1,1522.1,1545.3,1529.5,1514.6,NaN,1173.8,1220.4,1134.4,1229.3,1269,1323,1403.9,1029.4,1655.5,1764.7,1763.6,1856.1,1920.6,1874,1790.4,745.68
282,1301.8,1416.3,1476.2,1535,1555.1,1506.4,1524.5,NaN,1174.7,1236.7,1111.8,1235,1259.8,1328.6,1369.3,1071.4,1662.2,1746.6,1766.5,1823.2,1887.1,1835.8,1768.4,762.24
288,1292.7,1407,1460.3,1550.9,1523.7,1502.3,1501.9,NaN,1221.9,1214.1,1138.3,1217.2,1269.6,1318,1393.2,1064.7,1659.1,1761.8,1761.7,1829.5,1872.9,1863.6,1820.5,710.82
294,1279.9,1408.4,1489.7,1538.6,1531.5,1521.2,1515.2,NaN,1210,1211.3,1138.2,1219.4,1267.1,1346.6,1379.6,1096.2,1654.1,1757.7,1791.3,1861.9,1853.8,1833.8,1819.3,695.42
300,1259.7,1387.7,1493.6,1536.3,1527.1,1535,1529.3,NaN,1185.8,1222.8,1131.9,1233.4,1280.4,1328.4,1400.3,1096.9,1652.4,1725.5,1779.2,1824.9,1853.6,1853.5,1787.7,670.18
306,1284.5,1408.7,1466.4,1514.5,1535.3,1510.6,1550.7,NaN,1188.3,1225.5,1126.4,1216,1261,1338.9,1401.3,1073.5,1656.8,1760.3,1781,1839.5,1911,1834.5,1796.9,702.16
312,1293.1,1382.7,1509,1536.1,1540.5,1542.7,1506.8,NaN,1197.4,1233.4,1119,1227.6,1281,1337.8,1382.4,1070.9,1657.5,1774.4,1812.5,1849.6,1893.9,1863.5,1806.6,694.55
318,1298.5,1431.5,1491.4,1540,1549.1,1542.6,1466.8,NaN,1196.3,1232.9,1143.4,1228,1265.2,1340.5,1421.1,1047.5,1644.3,1754,1785,1866.7,1899.8,1857.3,1803.6,651.93
324,1303.9,1451.3,1472.2,1536.6,1545.9,1514.2,1531.2,NaN,1210.7,1240.2,1122.8,1251,1304.4,1341.3,1391.3,1074.8,1663,1740.1,1804.8,1833,1887,1828.1,1779.3,719.97
330,1312.2,1446,1480.9,1548.1,1535.2,1509.1,1534,NaN,1204.7,1194.1,1146.7,1235.8,1259.2,1345.5,1395.1,1048.6,1672.4,1752.9,1781.9,1842.3,1910.6,1838.8,1815.6,716.04
336,1338.3,1426.5,1486.4,1561.2,1601.7,1575.6,1519.2,NaN,1212.7,1241.3,1152,1251.3,1251,1352.8,1403,1050.4,1668.5,1783,1799.4,1853.5,1914.5,1813.5,1815.8,714.7
342,1333.1,1432.6,1524.9,1539.8,1592.2,1527.5,1528.7,NaN,1210.2,1252.4,1141.6,1250.1,1291.9,1363.3,1407.4,1097.5,1694.1,1757.3,1784.9,1857.4,1915.3,1865.6,1846.4,710.97
348,1350.7,1405.7,1518.3,1531.4,1601,1535.6,1552.3,NaN,1208.4,1221.9,1142.6,1228,1277.6,1343.4,1404.1,1042.3,1676.4,1779.1,1833.2,1827,1910,1866.4,1839.7,734.22
354,1314.8,1435,1511.6,1574.6,1555.9,1537.7,1570.7,NaN,1203.4,1233.8,1140.8,1239.8,1262.4,1325.1,1401.3,1057.4,1677.9,1792.4,1824.2,1875.7,1918.4,1859.6,1844.5,727.05
360,1331.7,1452.5,1518.2,1538.5,1583.5,1527.4,1542.8,NaN,1226.7,1243.5,1150.3,1256.2,1276.9,1322,1410.6,1101,1662.8,1785.5,1802,1865.2,1921.1,1880.4,1865.3,692.6
366,1317.8,1432,1546,1586.4,1535.8,1503.2,1549.1,NaN,1202.8,1231.8,1171.6,1262.3,1289.4,1347.7,1390.9,1072.9,1671.4,1768.9,1830.3,1886.9,1900.1,1908.4,1838.9,700.01
